Date,Price,Open,High,Low,Vol.,Change %
03/26/2024,"65,906.27","65,629.76","65,989.54","65,492.70",137145987,0.58%
03/25/2024,"65,525.64","65,412.92","65,656.49","65,301.73",129348381,0.57%
03/22/2024,"65,151.82","65,510.16","65,534.02","65,056.65",83027726,-0.41%
03/21/2024,"65,417.40","66,021.54","66,196.23","65,326.01",242671674,-0.48%
03/20/2024,"65,731.79","65,727.73","65,968.02","65,614.94",170619444,0.35%
03/19/2024,"65,502.59","64,955.94","65,624.72","64,940.17",162243933,0.94%
03/18/2024,"64,890.50","64,987.15","65,148.36","64,811.92",91515302,0.11%
03/15/2024,"64,816.46","65,309.79","65,353.66","64,759.60",99404749,-0.38%
03/14/2024,"65,064.26","64,079.97","65,205.81","64,079.97",136554522,1.59%
03/13/2024,"64,048.44","64,859.77","65,043.37","63,856.51",125290804,-1.16%
03/12/2024,"64,801.70","65,815.11","65,859.63","64,664.66",126820357,-1.45%
03/11/2024,"65,755.30","65,948.02","66,119.34","65,698.76",251628283,-0.06%
03/08/2024,"65,793.75","65,760.55","66,067.52","65,693.22",240096517,0.29%
03/07/2024,"65,603.08","65,673.80","65,874.15","65,187.68",158392882,-0.08%
03/06/2024,"65,656.62","65,757.72","66,150.94","65,603.88",191418797,-0.11%
03/05/2024,"65,726.04","66,126.70","66,134.84","65,500.06",185709075,-0.34%
03/04/2024,"65,951.72","65,695.03","66,007.43","65,532.58",211690827,0.96%
03/01/2024,"65,325.68","64,775.31","65,486.45","64,530.20",136075582,1.16%
02/29/2024,"64,578.52","63,827.25","64,801.63","63,827.25",223519849,1.37%
02/28/2024,"63,703.44","63,173.45","63,929.57","63,042.14",265803085,0.77%
02/27/2024,"63,219.09","63,450.40","63,622.00","63,055.64",231041416,-0.14%
02/26/2024,"63,305.93","62,915.40","63,732.50","62,915.39",221452325,0.78%
02/23/2024,"62,815.81","61,939.01","62,945.36","61,849.67",196435226,1.46%
02/22/2024,"61,914.34","61,741.57","61,952.09","61,460.44",171751787,0.58%
02/21/2024,"61,559.15","61,237.78","61,620.85","60,906.97",210578314,1.81%
02/20/2024,"60,464.24","60,576.38","61,237.51","60,420.83",234890909,0.01%
