"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2021","18,484.91","18,303.30","18,518.18","18,303.30","","0.83%"
"04/08/2021","18,332.21","17,970.74","18,335.60","17,970.74","","1.78%"
"04/07/2021","18,012.27","18,245.89","18,328.57","17,919.21","","-1.28%"
"04/06/2021","18,245.89","17,851.24","18,274.06","17,851.24","","2.21%"
"04/05/2021","17,851.24","18,170.34","18,231.86","17,830.75","","-1.76%"
"04/02/2021","18,170.34","18,242.19","18,347.13","18,126.52","","-0.39%"
"04/01/2021","18,242.19","18,268.62","18,437.84","18,198.56","","-0.14%"
"03/31/2021","18,268.62","18,258.24","18,539.34","18,216.67","","0.06%"
"03/30/2021","18,258.24","18,264.31","18,429.66","18,146.78","","-0.03%"
"03/29/2021","18,264.31","18,722.08","18,722.08","18,207.79","","-2.45%"
"03/26/2021","18,722.08","18,849.95","18,855.01","18,673.94","","-0.68%"
"03/25/2021","18,849.95","18,800.62","19,000.55","18,800.62","","0.26%"
"03/24/2021","18,800.62","18,749.63","18,819.34","18,656.49","","0.27%"
"03/22/2021","18,749.63","18,472.98","18,773.38","18,372.43","","1.48%"
"03/19/2021","18,476.67","18,400.43","18,597.56","18,216.92","","-0.13%"
"03/18/2021","18,500.84","18,837.34","18,890.05","18,456.05","","-2.00%"
"03/17/2021","18,878.72","18,628.02","18,937.77","18,628.02","","1.35%"
"03/16/2021","18,628.02","18,569.53","18,661.41","18,479.14","","0.31%"
