date,open,hig,low ,close,volume ,change
20-Feb-23,"15,520.26","15,527.03","15,300.77","15,324.95","32,684,850",-180.23
17-Feb-23,"15,484.39","15,553.53","15,441.52","15,505.18","34,631,592",16.57
16-Feb-23,"15,605.70","15,693.11","15,464.61","15,488.61","60,119,932",-80.07
15-Feb-23,"15,400.22","15,630.27","15,345.16","15,568.68","55,452,864",153.28
14-Feb-23,"15,679.04","15,714.20","15,366.91","15,415.40","66,146,800",-235.74
13-Feb-23,"15,657.54","15,777.56","15,621.03","15,651.14","67,443,432",-31.14
10-Feb-23,"15,842.50","16,072.15","15,643.97","15,682.28","133,634,832",-339.08
09-Feb-23,"15,825.91","16,063.78","15,745.93","16,021.36","128,706,432",275.43
08-Feb-23,"15,653.86","15,814.23","15,610.97","15,745.93","99,126,904",82.99
07-Feb-23,"15,619.53","15,744.27","15,494.02","15,662.94","108,404,680",168.92
06-Feb-23,"15,297.35","15,551.31","15,162.58","15,494.02","72,478,704",331.44
03-Feb-23,"15,221.43","15,303.48","15,095.21","15,162.58","34,642,304",-67.2
02-Feb-23,"15,132.37","15,253.73","15,049.59","15,229.78","48,124,768",59.37
01-Feb-23,"15,224.53","15,316.40","15,167.50","15,170.41","47,577,736",-20.02
31-Jan-23,"14,908.33","15,215.16","14,897.72","15,190.43","57,353,916",292.71
30-Jan-23,"15,126.87","15,206.76","14,882.04","14,897.72","50,769,688",-212.21
27-Jan-23,"15,286.86","15,330.58","15,073.40","15,109.93","69,702,688",-101.67
26-Jan-23,"14,860.50","15,281.98","14,800.22","15,211.60","142,290,320",411.38
25-Jan-23,"14,549.79","14,853.75","14,488.48","14,800.22","105,714,112",311.74
24-Jan-23,"14,301.48","14,505.40","14,266.41","14,488.48","71,316,520",222.07
23-Jan-23,"14,244.85","14,327.99","14,129.72","14,266.41","26,161,746",43.63
20-Jan-23,"14,397.52","14,466.78","14,184.98","14,222.78","33,817,220",-176.82
19-Jan-23,"14,401.04","14,495.46","14,346.74","14,399.60","63,142,520",51.73
18-Jan-23,"14,081.24","14,408.67","14,030.16","14,347.87","50,344,736",267.4
17-Jan-23,"14,661.45","14,749.36","14,053.87","14,080.47","56,528,808",-565.61
16-Jan-23,"14,896.39","14,899.75","14,611.01","14,646.08","30,789,768",-250.25
13-Jan-23,"15,027.64","15,097.51","14,832.32","14,896.33","41,934,640",-201.18
12-Jan-23,"15,150.99","15,276.31","15,070.65","15,097.51","47,777,720",-43.5
11-Jan-23,"15,159.01","15,192.89","15,055.47","15,141.01","66,513,048",33.91
10-Jan-23,"15,160.67","15,225.77","15,012.05","15,107.10","74,852,048",95.05
09-Jan-23,"15,171.41","15,231.52","14,974.37","15,012.05","60,664,480",-168.05
06-Jan-23,"15,069.69","15,218.41","15,027.30","15,180.10","55,139,712",126.72
05-Jan-23,"14,982.49","15,088.15","14,951.82","15,053.38","22,229,460",116.06
04-Jan-23,"15,004.88","15,103.25","14,937.32","14,937.32","33,075,640",-37.93
03-Jan-23,"15,050.76","15,117.06","14,956.45","14,975.25","34,561,264",-51.07
02-Jan-23,"14,848.32","15,119.64","14,812.87","15,026.32","62,840,520",189.91
30-Dec-22,"14,608.15","14,889.20","14,591.75","14,836.41","67,512,752",218.81
29-Dec-22,"14,458.10","14,644.26","14,431.30","14,617.60","46,655,312",156.61
28-Dec-22,"14,670.30","14,694.78","14,344.02","14,460.99","59,007,088",-215.14
27-Dec-22,"14,804.90","14,841.57","14,632.31","14,676.13","46,899,572",-102.19
26-Dec-22,"14,652.49","14,878.70","14,600.58","14,778.32","54,475,696",177.74
